bin,coef,lo,hi
≤-4,-0.11825715941242732,-0.6492225902873499,0.4127082714624952
-3,-0.0897042214871272,-0.49845014107617236,0.31904169810191796
-2,-0.05898595967866438,-0.4852978312561916,0.3673259118988628
-1 (ref),0.0,0.0,0.0
0,0.015047239053844863,-0.3528553408367048,0.3829498189443945
+1,0.13083834814361328,-0.29673174466195096,0.5584084409491775
+2,0.33771137131801243,-0.14196384067460455,0.8173865833106294
+3,0.10005083079655841,-0.4153121415289158,0.6154138031220326
≥+4,0.15495807140871434,-0.4115820965679061,0.7214982393853347
