fips,year,per_capita_income,gdp_thousands,median_income,poverty_rate,pct_bachelors,pop_density,unemployment_acs,median_age,elec_rate_cents_kwh,total_employment,total_wages,avg_annual_wage,data_processing_employment,total_establishments,unemployment_rate,labor_force,is_treated,dc_opening_year,dc_active,years_since_dc,contaminated_control,state,log_pop_density,log_labor_force,log_total_employment,log_total_wages,log_gdp_thousands
31001,2012,43050.0,1735273.0,49017.0,12.4,21.2,55.56620756505715,5.4,37.8,9.2562863801014,15226.0,512728128.0,33675.0,,1171.0,3.7,16851.0,0,,0,0.0,0,31,4.017575238877971,9.732165281200542,9.630759771866158,20.055256297741725,14.366675307688258
31001,2013,44098.0,1867247.0,49440.0,12.8,20.4,55.686930339408526,6.2,38.0,9.277477772259733,15285.0,517178037.0,33836.0,,1199.0,3.6,16906.0,0,,0,0.0,0,31,4.019745475583348,9.735423867488873,9.634627234324935,20.06389773876309,14.43997571157724
31001,2014,45637.0,1845389.0,51342.0,11.8,22.3,55.73841505199956,6.7,38.1,9.42388317219358,15309.0,535510238.0,34981.0,,1197.0,3.4,16728.0,0,,0,0.0,0,31,4.020669586988596,9.72483924110847,9.63619616973208,20.098730566250087,14.428200653341515
31001,2015,46254.0,1842223.0,50635.0,11.8,23.0,55.82008045817844,5.5,37.8,9.6690548315745,15370.0,551190872.0,35862.0,,1192.0,3.1,16677.0,0,,0,0.0,0,31,4.022133669493351,9.721785803621579,9.640172836532642,20.12759171729438,14.42648355253053
31001,2016,45417.0,1895118.0,51201.0,11.2,22.6,55.98696194037005,5.4,37.7,10.022750753514542,15513.0,568609053.0,36653.0,,1203.0,3.1,16749.0,0,,0,0.0,0,31,4.025118841134393,9.72609383397847,9.64943366106433,20.158703678616156,14.45479166368931
31001,2017,45333.0,1836139.0,51721.0,12.4,23.5,56.03667131804415,4.2,37.9,10.324227881486156,15449.0,587312019.0,38016.0,,1179.0,3.1,16775.0,0,,0,0.0,0,31,4.026006321382817,9.727644961839882,9.64529955531205,20.19106678512244,14.423175555357865
31001,2018,47570.0,1841535.0,51536.0,13.0,24.9,56.07040268146586,3.3,37.4,9.789652693019251,15339.0,604772747.0,39427.0,,1146.0,3.0,16774.0,0,,0,0.0,0,31,4.02660809187305,9.727585347544357,9.638153883748108,20.220363320637063,14.42611002093155
31001,2019,50114.0,1859228.0,53023.0,12.5,24.3,56.077504021133585,2.5,37.7,9.727979484494057,15394.0,625822700.0,40653.0,,1115.0,3.2,16999.0,0,,0,0.0,0,31,4.0267347342667605,9.74090979777877,9.641733102094262,20.254577662111018,14.435671905767288
31001,2020,53085.0,1798401.0,56007.0,12.2,25.6,55.995838614954714,2.4,38.0,9.819777707336035,14968.0,639368818.0,42715.0,,1089.0,4.0,17038.0,0,,0,0.0,0,31,4.025277377526754,9.743201422602786,9.613669867953925,20.275992025806218,14.402408494731176
31001,2021,59441.0,1992589.0,57783.0,13.1,25.8,55.53957754130317,2.4,37.5,9.699863765795728,15028.0,672349118.0,44740.0,,1111.0,2.5,16879.0,0,,0,0.0,0,31,4.017095875463394,9.733825524688928,9.61767040669386,20.32628828441653,14.504945356152081
31001,2022,63095.0,2018543.0,61502.0,12.0,27.1,55.28925531801574,2.7,38.0,9.633308435389765,15440.0,733279474.0,47491.0,2.0,1126.0,2.1,17196.0,0,,0,0.0,0,31,4.012578591603247,9.752432077616172,9.644716823578767,20.413037461399934,14.517886521995962
31003,2012,51419.0,335342.0,40397.0,12.7,15.8,7.764038560030426,2.8,46.5,10.520130069049424,2031.0,59373958.0,29233.0,,281.0,3.2,3573.0,0,,0,0.0,0,31,2.0495026318104568,8.181160858023409,7.616283561580385,17.899366270691402,12.722906185570155
