fips,state,per_capita_income,total_employment,avg_annual_wage,elec_rate_cents_kwh,poverty_rate,unemployment_rate,pop_density,median_age,pct_bachelors
48453,TX,49430.666666666664,584617.0,53039.333333333336,10.572782310255825,17.4,6.3,1013.2987543588387,31.8,43.9
48147,TX,30052.333333333332,6646.333333333333,33653.0,11.035477312081515,16.1,7.8999999999999995,37.97373625119504,40.26666666666667,14.866666666666667
48475,TX,38296.333333333336,3903.0,49466.333333333336,,22.7,6.666666666666667,12.683854254552301,36.4,10.933333333333332
48341,TX,32277.666666666668,10321.0,36627.0,9.210857234143226,15.0,4.8999999999999995,23.80280197725607,30.766666666666666,13.566666666666668
48049,TX,30865.333333333332,15040.666666666666,31609.333333333332,11.014466720678813,17.1,7.766666666666667,40.359559476465364,39.26666666666667,15.4
48247,TX,27764.333333333332,2049.3333333333335,35379.0,11.38567195898265,12.0,8.566666666666668,4.60581267113371,34.53333333333333,10.366666666666667
48335,TX,26969.333333333332,2367.6666666666665,37108.0,11.729459163383975,14.2,7.333333333333333,10.273774636241571,35.43333333333333,8.333333333333334
48353,TX,33592.666666666664,6068.666666666667,34305.333333333336,11.729459163383975,19.3,6.8999999999999995,16.517598193853708,38.46666666666667,15.266666666666666
48179,TX,41900.333333333336,8610.0,44058.0,8.670977081706704,14.9,7.133333333333333,24.426891755780037,38.43333333333334,13.0
48483,TX,48410.333333333336,2283.6666666666665,36137.333333333336,8.693308743265455,13.0,5.166666666666667,5.818999059264857,40.666666666666664,16.566666666666666
48111,TX,50100.0,3776.0,38076.0,9.212320764069498,12.6,4.533333333333334,4.393049534793573,32.43333333333333,9.233333333333333
48413,TX,35296.666666666664,893.6666666666666,38743.333333333336,11.62925688483675,22.6,5.866666666666667,2.5364159956214842,34.6,17.466666666666665
48007,TX,41821.0,5614.333333333333,31340.0,12.768683405228035,18.0,8.366666666666667,92.40988247926823,47.53333333333333,23.333333333333332
