fips,year,elec_rate_cents_kwh,res_sales_mwh,res_customers
01001,2010,11.239873880734418,,
01001,2011,11.559098686410593,,
01001,2012,11.829990407731142,,
01001,2013,11.672159518642163,,
01001,2014,11.888653904168663,,
01001,2015,12.261904727533446,,
01001,2016,12.681787441472054,,
01001,2017,13.394050981126327,,
01001,2018,12.844980476182021,,
01001,2019,13.432350098549191,,
01001,2020,13.505080069553177,,
01001,2021,14.028458993444906,,
01001,2022,15.467595121150126,,
01001,2023,,,
01001,2024,16.767773491638206,,
01003,2010,11.17121980877209,,
01003,2011,11.468995324455932,,
01003,2012,11.736313983687035,,
01003,2013,11.599465174120095,,
01003,2014,11.792718984337606,,
01003,2015,12.143035448964735,,
01003,2016,12.56720994800317,,
01003,2017,13.249457822322874,,
01003,2018,12.71482989779699,,
01003,2019,13.23919109676734,,
01003,2020,13.328128719303502,,
01003,2021,13.815367357204513,,
01003,2022,15.210186905012769,,
01003,2023,,,
01003,2024,16.45724169054672,,
01031,2010,11.254791252870207,,
01031,2011,11.564569941772215,,
01031,2012,11.83516660333763,,
01031,2013,11.690581030091586,,
01031,2014,11.881530473958236,,
01031,2015,12.262596377741705,,
01031,2016,12.681980212174908,,
01031,2017,13.377513436479012,,
01031,2018,12.829407260986143,,
01031,2019,13.39747214658742,,
01031,2020,13.498451462041595,,
01031,2021,14.00685474096293,,
01031,2022,15.448602431878435,,
01031,2023,,,
01031,2024,16.733167646984644,,
01033,2010,9.604149749841879,,
01033,2011,10.265552303913555,,
01033,2012,10.357512612073105,,
01033,2013,10.315908754133114,,
01033,2014,10.619014232085249,,
01033,2015,10.576815491067695,,
01033,2016,10.75703683515337,,
01033,2017,10.96887789946578,,
01033,2018,10.888882380379837,,
01033,2019,11.108767776163022,,
01033,2020,11.048279561266682,,
01033,2021,11.3463602807493,,
01033,2022,12.517113295228754,,
01033,2023,,,
01033,2024,12.506622540121809,,
01045,2010,11.196784377174287,,
01045,2011,11.513832046798735,,
01045,2012,11.793770120577342,,
01045,2013,11.649649882573753,,
01045,2014,11.839181001944528,,
01045,2015,12.210935917188156,,
01045,2016,12.626639369594896,,
01045,2017,13.31979727619462,,
01045,2018,12.777909948645119,,
01045,2019,13.323308699550077,,
01045,2020,13.425026255518123,,
01045,2021,13.930622882714383,,
01045,2022,15.36931452383384,,
01045,2023,,,
01045,2024,16.621263057749506,,
01071,2010,9.376035542561148,,
01071,2011,10.347638103069576,,
01071,2012,10.57195605613133,,
01071,2013,10.36596411421182,,
01071,2014,10.665051182530448,,
01071,2015,10.72059350834265,,
01071,2016,11.013667009262962,,
01071,2017,11.336134009807514,,
01071,2018,11.186515608523274,,
01071,2019,11.469779701396648,,
01071,2020,11.390957960177005,,
01071,2021,11.66724921432527,,
01071,2022,12.705679302917167,,
01071,2023,,,
01071,2024,12.678636347176331,,
01089,2010,8.389311221330377,,
01089,2011,9.145075652876868,,
01089,2012,9.458864502844182,,
01089,2013,9.329451797204213,,
01089,2014,9.640353532887348,,
01089,2015,9.579577283410064,,
01089,2016,9.672807289893575,,
01089,2017,10.071989025968364,,
01089,2018,10.121445402478038,,
01089,2019,10.242511991647707,,
01089,2020,10.118289575313057,,
01089,2021,10.540046685457511,,
01089,2022,11.737726907182118,,
01089,2023,,,
01089,2024,11.451686360114168,,
01097,2010,11.183780637921556,,
01097,2011,11.494291091354267,,
01097,2012,11.744594375177888,,
01097,2013,11.599011052229384,,
01097,2014,11.795529969507264,,
01097,2015,12.203440964938602,,
01097,2016,12.657752929218507,,
01097,2017,13.371678774346734,,
01097,2018,12.809313617421154,,
01097,2019,13.406453152964863,,
01097,2020,13.505099851415297,,
01097,2021,14.035572748462421,,
01097,2022,15.495259144575293,,
01097,2023,,,
01097,2024,16.771127232152296,,
01101,2010,11.201911496640992,,
01101,2011,11.51902279049654,,
01101,2012,11.767103179895297,,
01101,2013,11.63442997922998,,
01101,2014,11.818099981806762,,
01101,2015,12.210233813229175,,
01101,2016,12.648729615469835,,
01101,2017,13.3517500118829,,
01101,2018,12.795292246356597,,
01101,2019,13.382047246542989,,
01101,2020,13.484883470672397,,
01101,2021,14.00610404514345,,
01101,2022,15.45002021100841,,
01101,2023,,,
01101,2024,16.72792412688589,,
01117,2010,11.205835995976972,,
01117,2011,11.512431151777207,,
01117,2012,11.758319662027057,,
01117,2013,11.616190106570864,,
01117,2014,11.810450795451183,,
01117,2015,12.213622303540538,,
01117,2016,12.655188340893337,,
01117,2017,13.371094200673728,,
01117,2018,12.811406515476195,,
01117,2019,13.402842310168708,,
01117,2020,13.503065653824807,,
01117,2021,14.030327395035279,,
01117,2022,15.482910288679783,,
01117,2023,,,
01117,2024,16.759724758351176,,
04013,2010,11.103552103559277,,
04013,2011,11.208245502863704,,
04013,2012,11.453271423263168,,
04013,2013,11.929549585500112,,
04013,2014,12.092745290193122,,
04013,2015,12.307431880382104,,
04013,2016,12.401989342485857,,
04013,2017,12.644348469087866,,
04013,2018,12.99186007545069,,
04013,2019,12.642494119893794,,
04013,2020,12.407366331711744,,
04013,2021,12.549648842742258,,
04013,2022,12.957998524567689,,
04013,2023,,,
04013,2024,15.118028666526598,,
04015,2010,11.396233305498882,,
04015,2011,11.470939056626078,,
04015,2012,11.756357117284331,,
04015,2013,12.348806111356678,,
04015,2014,12.512619882196166,,
04015,2015,12.669022660006556,,
04015,2016,12.866654322722091,,
04015,2017,13.224290811975196,,
04015,2018,13.780563681507111,,
04015,2019,13.209453956285893,,
04015,2020,12.921085248251753,,
04015,2021,13.138363216487877,,
04015,2022,13.679579400955044,,
04015,2023,,,
04015,2024,16.247910365485446,,
04019,2010,11.230915693141965,,
04019,2011,11.321181384748584,,
04019,2012,11.5960592539824,,
04019,2013,12.07922524048146,,
04019,2014,12.378799134907533,,
04019,2015,12.591449295080098,,
04019,2016,12.650792625967801,,
04019,2017,13.235888935624734,,
04019,2018,13.79269737139988,,
04019,2019,13.292271717860725,,
04019,2020,13.054270541429958,,
04019,2021,13.474877349899844,,
04019,2022,13.89341320373464,,
04019,2023,,,
04019,2024,16.134190437785016,,
04021,2010,11.22571843854979,,
04021,2011,11.30217821896757,,
04021,2012,11.515922086924713,,
04021,2013,11.993446030694955,,
04021,2014,12.163088893541063,,
04021,2015,12.355473727153438,,
04021,2016,12.456311165611174,,
04021,2017,12.695419444996823,,
04021,2018,13.04013763901514,,
04021,2019,12.70224914219157,,
04021,2020,12.465369953897692,,
04021,2021,12.602031497661766,,
04021,2022,13.00514900024756,,
04021,2023,,,
04021,2024,15.065827787787516,,
04025,2010,11.524347482449986,,
04025,2011,11.60841015057988,,
04025,2012,11.96643899640412,,
04025,2013,12.575362232126851,,
04025,2014,12.69757097269688,,
04025,2015,12.860447947000457,,
04025,2016,13.038774070620955,,
04025,2017,13.491795423389565,,
04025,2018,14.07886112263893,,
04025,2019,13.514333584314418,,
04025,2020,13.150013437091497,,
04025,2021,13.345452972232994,,
04025,2022,13.817983528570643,,
04025,2023,,,
04025,2024,16.284206869306477,,
04027,2010,11.53380813257249,,
04027,2011,11.606604595717275,,
04027,2012,11.956928486315498,,
04027,2013,12.583090009122314,,
04027,2014,12.769139171074384,,
04027,2015,12.928373665674442,,
04027,2016,13.105412863293498,,
04027,2017,13.566252442541604,,
04027,2018,14.149837620941044,,
04027,2019,13.593321514127915,,
04027,2020,13.24378032470574,,
04027,2021,13.451652666452517,,
04027,2022,13.865546577245281,,
04027,2023,,,
04027,2024,16.45035592806813,,
06001,2010,15.727788357416248,,
06001,2011,15.302895286475081,,
06001,2012,15.600610014484198,,
06001,2013,17.003542653057767,,
06001,2014,16.717276340376646,,
06001,2015,18.012591257711126,,
06001,2016,19.916350227173787,,
06001,2017,21.15739148714661,,
06001,2018,22.18968191341521,,
06001,2019,22.316966295688367,,
06001,2020,23.590741064527112,,
06001,2021,25.773670396092033,,
06001,2022,30.802386844657505,,
06001,2023,,,
06001,2024,39.32580605522698,,
06013,2010,15.747973870699305,,
06013,2011,15.31920739367865,,
06013,2012,15.616536634238974,,
06013,2013,17.02488574800114,,
06013,2014,16.728848864120632,,
06013,2015,18.031265379514576,,
06013,2016,19.941262474803622,,
06013,2017,21.181207657210525,,
06013,2018,22.216149340730738,,
06013,2019,22.349103734200586,,
06013,2020,23.64544563837168,,
06013,2021,25.864447053974015,,
06013,2022,30.980032476568226,,
06013,2023,,,
06013,2024,39.61787219372227,,
06019,2010,14.988995317192142,,
06019,2011,14.882462547056054,,
06019,2012,15.799687603422399,,
06019,2013,16.79261436066104,,
06019,2014,16.58125091021024,,
06019,2015,17.278579916821844,,
06019,2016,17.892783688890365,,
06019,2017,18.790299508216894,,
06019,2018,18.89770942192223,,
06019,2019,18.590993136257076,,
06019,2020,20.29044248796432,,
06019,2021,22.998063064303278,,
06019,2022,26.8708205166416,,
06019,2023,,,
06019,2024,35.05796487680451,,
06085,2010,15.674452574510653,,
