fips,year,unemployment_rate,labor_force
06019,2019,7.3,450560
06019,2020,11.6,445633
06019,2021,9.1,443526
06019,2022,6.5,450096
06085,2010,10.7,926868
06085,2011,9.5,937871
06085,2012,8.0,955979
06085,2013,6.6,968154
06085,2014,5.2,987613
06085,2015,4.2,1012215
06085,2016,3.8,1027918
06085,2017,3.2,1037356
06085,2018,2.6,1042538
06085,2019,2.5,1048756
06085,2020,7.1,1023652
06085,2021,4.8,1010149
06085,2022,2.7,1031488
13015,2010,12.3,47979
13015,2011,11.4,47656
13015,2012,9.8,47254
13015,2013,8.6,46991
13015,2014,7.2,46539
13015,2015,6.0,46322
13015,2016,5.2,48194
13015,2017,4.7,50051
13015,2018,3.8,50425
13015,2019,3.4,50995
13015,2020,6.2,50054
13015,2021,3.5,51121
13015,2022,3.0,52182
13097,2010,11.4,66764
13097,2011,10.8,66842
13097,2012,9.5,66743
13097,2013,8.5,67225
13097,2014,7.4,67571
13097,2015,6.5,67568
13097,2016,5.6,70232
13097,2017,4.9,72751
13097,2018,4.2,73165
13097,2019,3.7,73479
13097,2020,7.3,72454
13097,2021,4.3,73771
13097,2022,3.4,74978
13113,2010,8.4,53058
13113,2011,7.9,53127
13113,2012,7.4,53324
13113,2013,6.7,53343
13113,2014,6.1,53669
13113,2015,5.3,53538
13113,2016,4.8,55712
13113,2017,4.1,57532
13113,2018,3.5,57844
13113,2019,3.1,58251
13113,2020,5.4,56635
13113,2021,2.9,58021
13113,2022,2.7,59436
13115,2010,12.0,45235
13115,2011,12.0,44760
13115,2012,10.8,44642
13115,2013,9.4,43712
13115,2014,7.9,43217
13115,2015,6.8,42497
13115,2016,6.1,43503
13115,2017,5.3,44645
13115,2018,4.3,44554
13115,2019,4.0,44305
13115,2020,6.2,43156
13115,2021,3.7,43311
13115,2022,3.2,44672
13185,2010,9.7,51165
13185,2011,9.8,51276
13185,2012,9.0,52282
13185,2013,8.0,51035
13185,2014,7.3,50467
13185,2015,6.0,49790
13185,2016,5.3,51312
13185,2017,4.7,52197
13185,2018,4.1,51972
13185,2019,3.7,51862
13185,2020,6.0,51525
13185,2021,4.1,51007
13185,2022,3.4,50175
13217,2010,12.9,48138
13217,2011,12.3,48301
13217,2012,10.9,48130
13217,2013,9.6,48002
13217,2014,8.2,47871
13217,2015,6.9,47891
13217,2016,6.1,50006
13217,2017,5.4,51731
13217,2018,4.5,52140
13217,2019,4.0,53061
13217,2020,7.1,52157
13217,2021,4.4,53257
13217,2022,3.5,54193
17031,2010,11.0,2640576
17031,2011,10.6,2622338
17031,2012,9.7,2663370
17031,2013,9.7,2677937
17031,2014,7.6,2657984
17031,2015,6.3,2647903
17031,2016,6.2,2664757
17031,2017,5.1,2689206
17031,2018,4.2,2661947
17031,2019,3.9,2663113
17031,2020,10.6,2591782
17031,2021,7.0,2597767
17031,2022,4.9,2659157
17037,2010,10.6,56305
17037,2011,9.4,55778
17037,2012,8.5,55461
