predictor,ols_coef,ols_se,ci_lo,ci_hi
const,44874.89643105809,821.062522737383,43265.643457437225,46484.14940467896
dc_active,5837.184936322399,4765.759914587759,-3503.5328552342926,15177.90272787909
year_2013,1605.5333333332992,199.16581487961645,1215.1755092176793,1995.891157448919
year_2014,3441.109803921569,396.0483342887073,2664.869332578623,4217.350275264515
year_2015,4608.050980392142,390.22735998325095,3843.219409042824,5372.882551741461
year_2016,3951.4666666666553,277.4086569392436,3407.7556900661107,4495.1776432672
year_2017,3994.2705882353157,246.86450227257345,3510.4250547196652,4478.116121750966
year_2018,5411.003921568656,265.9701689385977,4889.711969486971,5932.295873650341
year_2019,7843.897313975195,250.57887163391726,7352.771750286032,8335.022877664358
year_2020,11829.88614262746,300.1621087265076,11241.579219999909,12418.19306525501
year_2021,17209.308736769668,366.1927664689853,16491.58410309137,17927.033370447967
year_2022,17691.338025472607,432.76750077008154,16843.12931028384,18539.546740661375
state_39,-9201.916132663817,1161.5607398621833,-11478.533348649395,-6925.298916678239
state_51,-5799.853768132446,1761.348186200583,-9252.032777320539,-2347.674758944354
