predictor,lasso_std_coef,ols_coef,ols_se
dc_active,0.032294695528058574,0.5881863885319746,0.29348114627938227
year_2013,-0.03245418930719718,-0.17216436510588443,0.028435017308622103
year_2014,-0.3130794303797683,-1.1412910934270404,0.06290312589822031
year_2015,-0.4742929403286997,-1.6988245497233179,0.07883915198370967
year_2016,-0.4808494850057958,-1.7216365211904348,0.08316609424047301
year_2017,-0.550693473799311,-1.9633992254232173,0.08695971246852753
year_2018,-0.6527633303059257,-2.317014622209781,0.1010411812699794
year_2019,-0.6471640655683624,-2.298976869609774,0.11702748173513619
year_2020,0.03671266831256302,0.07430241088166498,0.09645737496346002
year_2021,-0.5382325318149688,-1.9846234139600392,0.1102863978536046
year_2022,-0.7458089566917911,-2.722738051137437,0.1327171061840674
state_39,1.0473976637671247,2.2089186876903986,0.15330613714205316
state_51,0.5257616703913551,1.1361771433049028,0.15104579146194955
per_capita_income,-0.2938088323457005,-2.3577061229966187e-05,5.003633714247055e-06
log_total_employment,-0.3709397468276035,-0.24131607106068073,0.07125537328611217
avg_annual_wage,0.15735244832575468,1.6733410108844925e-05,6.201536320767472e-06
elec_rate_cents_kwh,-0.0,-0.0019261042426214209,0.03854890516232505
poverty_rate,0.49904801882886896,0.10468157916533964,0.011150335235285209
log_pop_density,0.4541323890348207,0.2611398525084689,0.06623433241486709
median_age,0.10074191618295482,0.021183120844975898,0.014838606559539743
pct_bachelors,-0.13878936687076857,-0.016520417464185904,0.00891843454009606
