predictor,lasso_std_coef,ols_coef,ols_se
dc_active,0.045530646632622566,0.8920252757421142,0.2097237187476158
year_2013,0.0,0.164700322151995,0.03180619429375169
year_2014,0.10367216276540356,0.5467521602565665,0.060510212170511994
year_2015,0.07575356774399643,0.4535740147102468,0.07347937699722411
year_2016,0.051046973620548004,0.36370312444033226,0.07125065323696424
year_2017,0.06340395551985537,0.4029033568839647,0.07830110217247599
year_2018,0.017923291754592625,0.24920223432863758,0.09104939710295178
year_2019,0.022203685680070855,0.26854607984138723,0.09449759210979772
year_2020,-0.0,0.15665430754012075,0.07370181578399218
year_2021,0.0220024501964902,0.2938839535529528,0.10432965385223683
year_2022,0.3126236774491271,1.325309165783001,0.1384378670888912
state_39,1.089589114361994,2.3996145800574573,0.1376995724175203
state_51,0.4530081764230589,1.081680787915759,0.12184569073714317
per_capita_income,-0.023382856538000464,-5.336687385243425e-06,4.524678856662881e-06
log_total_employment,-0.1713908076413927,-0.10094624515394857,0.05782007718111608
avg_annual_wage,0.024733671346737294,3.276182281934803e-06,5.024037590203441e-06
poverty_rate,0.0789928757355634,0.016921071060869087,0.0070165802873606575
unemployment_rate,-0.006960294024963949,-0.001365997335009736,0.027319174825056487
log_pop_density,-0.17320388930553968,-0.13858721104962363,0.056118823176300466
median_age,-0.0,-0.0035969899051940205,0.009150520143051531
pct_bachelors,0.1378379859978471,0.021802735737001176,0.007061514117189366
