predictor,coef,se,ci_lo,ci_hi
const,40557.04168507314,695.0523976155365,39194.764018378475,41919.31935176781
dc_active,5960.79226919658,4796.979648030483,-3441.115075514792,15362.699613907951
year_2011,4152.531914893588,266.0640359485395,3631.05598685308,4674.007842934096
year_2012,4262.209219858118,215.1116753644632,3840.5980834896977,4683.820356226537
year_2013,5678.553191489388,347.52732330838256,4997.412154161351,6359.694228817425
year_2014,7454.329787234119,482.9291186357843,6507.806107622311,8400.853466845927
year_2015,8639.478723404256,468.43742581570905,7721.358239794813,9557.5992070137
year_2016,8116.535460992821,345.189213450724,7439.977034777692,8793.09388720795
year_2017,8288.563829787312,224.1489209200161,7849.240017610564,8727.88764196406
year_2018,9694.68085106392,239.13313029327497,9225.988528178777,10163.373173949063
year_2019,12064.348254364628,291.9038835229493,11492.227155712273,12636.469353016982
year_2020,16106.924195717658,365.9804807265501,15389.615634448965,16824.232756986352
year_2021,21359.555401391477,438.31273751611076,20500.47822189474,22218.632580888214
year_2022,21737.64759997312,460.03040001290213,20836.004584154278,22639.29061579196
state_39,-8988.49752966415,1089.847234240656,-11124.558857426424,-6852.436201901875
state_51,-5912.858933105328,1474.7729884348705,-8803.36087581018,-3022.356990400476
