predictor,ridge_std_coef,ols_coef,ols_se
dc_active,0.04826096222867055,0.8920252757346657,0.20972371881119622
per_capita_income,-0.05678413773931318,-5.336687385176888e-06,4.5246788566779605e-06
log_total_employment,-0.1741200272253908,-0.10094624515425271,0.057820077181515245
avg_annual_wage,0.043630532462683,3.2761822819167163e-06,5.024037590149476e-06
poverty_rate,0.07503579703993742,0.016921071060869087,0.0070165802873715976
unemployment_rate,0.03498866008325608,-0.0013659973350102217,0.027319174825317444
log_pop_density,-0.13910148395890368,-0.1385872110496243,0.05611882317701289
median_age,0.015586552386611326,-0.003596989905194011,0.009150520143016651
pct_bachelors,0.14588896166408813,0.021802735737001155,0.007061514117187235
year_2013,0.022907178715059213,0.1647003221520867,0.031806194294563106
year_2014,0.13567062074337516,0.5467521602573722,0.06051021217154101
year_2015,0.11201492399126273,0.4535740147107631,0.07347937699840654
year_2016,0.08708667980889086,0.36370312443898434,0.07125065323802571
year_2017,0.09985724264928367,0.4029033568848045,0.07830110217340738
year_2018,0.0582065584392018,0.24920223432884506,0.09104939710435729
year_2019,0.06375837077714429,0.2685460798416959,0.09449759211145337
year_2020,0.018182852701640898,0.15665430754036386,0.07370181578570306
year_2021,0.06624007448662982,0.2938839535527512,0.10432965385544717
year_2022,0.35272883289678736,1.3253091657841463,0.13843786709215383
state_39,0.9971748412662079,2.3996145800563995,0.13769957242024908
state_51,0.38472465697321717,1.0816807879150043,0.1218456907399327
